#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
23932,1.86,-1.86,9.31
23920,1.84,-1.84,9.20
23908,1.83,-1.83,9.14
23920,1.82,-1.82,9.12
23928,1.84,-1.84,9.20
23896,1.86,-1.86,9.32
23940,1.91,-1.91,9.53
23908,1.97,-1.97,9.85
23932,2.02,-2.02,10.09
24936,2.04,-2.04,10.19
24920,2.04,-2.04,10.19
24972,2.04,-2.04,10.18
24988,2.04,-2.04,10.19
24952,2.03,-2.03,10.16
24972,2.01,-2.01,10.06
24944,1.96,-1.96,9.82
23920,1.93,-1.93,9.63
23928,1.91,-1.91,9.53
23880,1.81,-1.81,9.05
23916,1.35,-1.35,6.73
23932,0.57,-0.57,2.83
23908,-0.26,0.26,-1.28
24972,-1.18,1.18,-5.88
24976,-2.21,2.21,-11.03
25992,-3.33,3.33,-16.66
25992,-4.70,4.70,-23.48
26004,-6.23,6.23,-31.17
25992,-7.73,7.73,-38.66
26008,-8.90,8.90,-44.49
25992,-9.44,9.44,-47.21
26016,-9.54,9.54,-47.70
25968,-8.65,8.65,-43.27
26032,-7.49,7.49,-37.46
25984,-5.87,5.87,-29.35
26012,-4.07,4.07,-20.36
25964,-2.05,2.05,-10.23
25980,-0.15,0.15,-0.74
24956,1.32,-1.32,6.58
23936,2.56,-2.56,12.80
24948,3.62,-3.62,18.10
24976,4.47,-4.47,22.36
24984,4.77,-4.77,23.85
24928,4.36,-4.36,21.81
24936,3.17,-3.17,15.86
24936,1.54,-1.54,7.72
23960,-0.07,0.07,-0.37
24936,-1.32,1.32,-6.59
24952,-2.40,2.40,-11.99
25992,-3.36,3.36,-16.81
26004,-4.20,4.20,-21.02
26024,-4.99,4.99,-24.96
25996,-5.44,5.44,-27.22
25984,-5.65,5.65,-28.25
25992,-5.43,5.43,-27.17
26020,-4.91,4.91,-24.55
25992,-4.00,4.00,-20.00
25984,-3.13,3.13,-15.67
