#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
Done!
23900,2.10,-2.10,6.31
23928,2.78,-2.78,8.33
23916,3.48,-3.48,10.45
24944,4.26,-4.26,12.78
24984,4.85,-4.85,14.55
24944,5.40,-5.40,16.19
24960,5.90,-5.90,17.70
24984,6.38,-6.38,19.13
24936,6.74,-6.74,20.21
24968,7.00,-7.00,20.99
24960,7.04,-7.04,21.12
24948,6.85,-6.85,20.54
24960,6.46,-6.46,19.38
24964,5.93,-5.93,17.80
24944,5.32,-5.32,15.96
24960,4.46,-4.46,13.37
24948,3.46,-3.46,10.38
24936,2.60,-2.60,7.79
23924,2.00,-2.00,5.99
23932,1.54,-1.54,4.61
23904,1.06,-1.06,3.18
23932,0.50,-0.50,1.51
23920,-0.04,0.04,-0.13
24940,-0.63,0.63,-1.90
24956,-1.37,1.37,-4.10
24960,-2.07,2.07,-6.21
24960,-2.84,2.84,-8.51
24960,-3.64,3.64,-10.91
25980,-4.31,4.31,-12.93
26012,-4.87,4.87,-14.62
26008,-5.33,5.33,-15.99
25988,-5.74,5.74,-17.21
26028,-6.10,6.10,-18.29
25980,-6.31,6.31,-18.92
26000,-6.26,6.26,-18.77
26008,-6.20,6.20,-18.59
25980,-5.97,5.97,-17.91
26012,-5.75,5.75,-17.26
25976,-5.52,5.52,-16.56
25984,-5.24,5.24,-15.72
26000,-5.05,5.05,-15.15
26012,-5.13,5.13,-15.38
25988,-5.28,5.28,-15.83
25996,-5.43,5.43,-16.28
26000,-5.45,5.45,-16.34
26000,-5.38,5.38,-16.13
25996,-5.38,5.38,-16.15
25988,-5.38,5.38,-16.15
25996,-5.34,5.34,-16.01
25996,-5.34,5.34,-16.03
25984,-5.34,5.34,-16.03
26004,-5.32,5.32,-15.95
26004,-5.32,5.32,-15.95
25992,-5.32,5.32,-15.97
25992,-5.32,5.32,-15.97
25976,-5.34,5.34,-16.02
26000,-5.34,5.34,-16.03
26020,-5.35,5.35,-16.05
25984,-5.36,5.36,-16.08
26020,-5.36,5.36,-16.07
25980,-5.37,5.37,-16.11
26012,-5.37,5.37,-16.12
25988,-5.37,5.37,-16.11
25972,-4.71,4.71,-14.12
26000,-3.69,3.69,-11.08
26000,-2.40,2.40,-7.20
24976,-1.32,1.32,-3.95
24964,-0.10,0.10,-0.30
24920,1.36,-1.36,4.08
23940,3.08,-3.08,9.23
23912,4.83,-4.83,14.48
24964,6.56,-6.56,19.68
24964,8.06,-8.06,24.18
24960,9.44,-9.44,28.33
24960,10.52,-10.52,31.57
27048,11.21,-11.21,33.62
3.76
27008,10.77,-10.77,32.30
27060,10.07,-10.07,30.21
27040,8.97,-8.97,26.91
24960,7.51,-7.51,22.52
24936,6.08,-6.08,18.24
24976,4.56,-4.56,13.67
24940,3.02,-3.02,9.06
23916,1.62,-1.62,4.86
23904,0.58,-0.58,1.73
23896,-0.30,0.30,-0.89
25008,-0.90,0.90,-2.70
24940,-1.28,1.28,-3.83
24948,-1.49,1.49,-4.47
24956,-1.48,1.48,-4.44
24944,-1.29,1.29,-3.86
24964,-0.85,0.85,-2.56
24936,-0.39,0.39,-1.16
24984,0.01,-0.01,0.03
23904,0.29,-0.29,0.86
23916,0.50,-0.50,1.51
23912,0.62,-0.62,1.86
23940,0.69,-0.69,2.07
23912,0.74,-0.74,2.21
23900,0.72,-0.72,2.16
23900,0.63,-0.63,1.90
23944,0.51,-0.51,1.54
23928,0.35,-0.35,1.04
23904,0.15,-0.15,0.45
23924,-0.10,0.10,-0.29
24928,-0.36,0.36,-1.09
24984,-0.67,0.67,-2.01
24964,-1.02,1.02,-3.06
24948,-1.36,1.36,-4.09
24964,-1.74,1.74,-5.22
24940,-2.13,2.13,-6.40
24948,-2.52,2.52,-7.56
24952,-2.90,2.90,-8.69
24968,-3.25,3.25,-9.75
24956,-3.58,3.58,-10.75
26004,-3.87,3.87,-11.60
26020,-4.09,4.09,-12.28
25968,-4.27,4.27,-12.80
25984,-4.39,4.39,-13.17
26008,-4.46,4.46,-13.37
26000,-4.49,4.49,-13.47
26004,-4.49,4.49,-13.47
25988,-4.44,4.44,-13.32
25980,-4.35,4.35,-13.04
26000,-4.24,4.24,-12.71
26008,-4.11,4.11,-12.33
25988,-3.98,3.98,-11.93
26016,-4.16,4.16,-12.49
25988,-4.43,4.43,-13.29
25984,-5.12,5.12,-15.35
26016,-5.99,5.99,-17.97
26000,-7.09,7.09,-21.28
26020,-8.35,8.35,-25.04
25976,-9.61,9.61,-28.82
26004,-10.93,10.93,-32.80
28076,-11.82,11.82,-35.46
28088,-12.11,12.11,-36.33
28068,-12.15,12.15,-36.44
28068,-11.43,11.43,-34.30
28088,-10.36,10.36,-31.08
28064,-9.21,9.21,-27.62
26012,-7.86,7.86,-23.58
25972,-6.35,6.35,-19.05
26008,-5.06,5.06,-15.19
25964,-3.84,3.84,-11.52
25996,-2.86,2.86,-8.58
24956,-2.38,2.38,-7.15
24956,-2.19,2.19,-6.58
24956,-2.31,2.31,-6.93
24948,-2.63,2.63,-7.89
24956,-3.26,3.26,-9.79
24980,-4.16,4.16,-12.49
-7.17,7.17,-21.51
26000,-8.21,8.21,-24.64
25996,-9.01,9.01,-27.04
25980,-9.64,9.64,-28.93
26000,-10.10,10.10,-30.30
28060,-10.02,10.02,-30.05
28068,-9.58,9.58,-28.74
26028,-9.07,9.07,-27.22
26008,-8.29,8.29,-24.87
25968,-7.16,7.16,-21.49
26012,-6.01,6.01,-18.03
